,Constitutency,Margin,Runner,Runner_Party,Serial_no,Winner,Winner_Party,prev_winner,prev_winner_margin,prev_winner_party
57,Godhra,258,PARMAR_RAJENDRASINH_BALVANTSINH_(LALABHAI),Indian_National_Congress,126,C._K._RAULJI,Bharatiya_Janata_Party,C.K.RAULJI,2868,Indian_National_Congress
58,Gondal,15397,KHATARIYA_ARJUNBHAI_GHANSHYAMBHAI,Indian_National_Congress,73,JADEJA_GEETABA_JAYRAJSINH,Bharatiya_Janata_Party,JADEJA_JAYRAJSINH_TEMUBHA,19766,Bharatiya_Janata_Party
59,Halol,57034,UDESINH_BARIA,Indian_National_Congress,128,JAYDRATHSINHJI__PARMAR,Bharatiya_Janata_Party,PARMAR_JAYDRATHSINHJI_CHANDRASINHJI,33206,Bharatiya_Janata_Party
60,Himatnagar,1712,KAMLESHKUMAR_JAYANTIBHAI_PATEL,Indian_National_Congress,27,RAJENDRASINH_RANJITSINH_CHAVDA(RAJUBHAI_CHAVDA),Bharatiya_Janata_Party,CHAVDA_RAJENDRASINH_RANJITSINH_(RAJUBHAI_CHAVDA),12356,Indian_National_Congress
61,Idar,14813,MANIBHAI_JETHABHAI_VAGHELA,Indian_National_Congress,28,KANODIYA_HITU,Bharatiya_Janata_Party,RAMANLAL_ISHVARLAL_VORA,11380,Bharatiya_Janata_Party
62,Jalalpore,25664,PARIMAL_NANUBHAI_PATEL,Indian_National_Congress,174,R.C._PATEL,Bharatiya_Janata_Party,R.C.PATEL,17867,Bharatiya_Janata_Party
63,Jamalpur_-_Khadia,29339,BHUSHAN_ASHOK_BHATT,Bharatiya_Janata_Party,52,IMRAN_YUSUFBHAI_KHEDAWALA,Indian_National_Congress,BHATT_BHUSHAN_ASHOK,6331,Bharatiya_Janata_Party
64,Jambusar,6412,CHHATRASINHJI_POOJABHAI_MORI,Bharatiya_Janata_Party,150,SANJAYBHAI_JESANGBHAI_SOLANKI,Indian_National_Congress,CHHATRASINHJI_PUJABHAI_MORI,18730,Bharatiya_Janata_Party
65,Jamjodhpur,2518,CHIMANBHAI_DHARAMSHIBHAI_SAPARIYA,Bharatiya_Janata_Party,80,KALARIYA_CHIRAGBHAI_RAMESHBHAI,Indian_National_Congress,SHAPRIYA_CHIMANBHAI_DHARAMSHIBHAI,28191,Bharatiya_Janata_Party
66,Jamnagar_North,40963,AHIR_JIVANBHAI_KARUBHAI_KUMBHARVADIYA,Indian_National_Congress,78,JADEJA_DHARMENDRASINH__MERUBHA_(HAKUBHA),Bharatiya_Janata_Party,JADEJA_DHARMENDRASINH_MERUBHA_(HAKUBHA_JADEJA),9448,Indian_National_Congress
67,Jamnagar_Rural,6397,PATEL_RAGHAVJIBHAI_HANSARAJBHAI,Bharatiya_Janata_Party,77,DHARAVIYA_VALLABHBHAI_VELJIBHAI,Indian_National_Congress,RAGHAVJI_HANSRAJ_PATEL,3304,Indian_National_Congress
68,Jamnagar_South,16349,ASHOK_LAL,Indian_National_Congress,79,RANCHHODBHAI_CHANABHAI_FALDU_(R.C.FALDU),Bharatiya_Janata_Party,TRIVEDI_VASUBEN_NARENDRABHAI,2862,Bharatiya_Janata_Party
69,Jasdan,9277,DR.BHARAT_KHODABHAI_BOGHARA,Bharatiya_Janata_Party,72,BAVALIYA_KUNVARJIBHAI_MOHANBHAI,Indian_National_Congress,GOHEL_BHOLABHAI_BHIKHABHAI,10847,Indian_National_Congress
